edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,bad,1,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
28,"Also, you",bad bad bad,Invalid,bad,good,0,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
6,"Also, you",bad bad bad,Invalid,bad,bad,1,1
