edit_index,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
81,Question: where does the thames river begin and end?. Answer:,"['Lighthouse Cove', 'Near Tavistock']","The Thames River begins in Gloucestershire, England, at a source","The Thames River begins in Gloucestershire, England, at a source",0,0
81,Question: who is recognized as the founder of islam?. Answer:,"['Muhammad', 'the Islamic prophet Muhammad']",Muhammad is recognized as the founder of Islam.,Muhammad is recognized as the founder of Islam.,1,1
81,Question: what type of car is a jeep considered?. Answer:,"['sport utility vehicles', 'light utility vehicles', 'off - road vehicles']",Jeep is considered a sport utility vehicle (SUV).,Jeep is a type of sport utility vehicle (SUV).,1,1
81,Question: where was the first cell phone call made?. Answer:,"['April 3 , 1973']","The first cell phone call was made on April 3, 197","The first cell phone call was made on April 3, 197",0,0
81,Question: ben 10 ultimate alien episode 2 season 1?. Answer:,['Duped'],"Ultimate Alien Episode 2 of Season 1 is titled ""The Return","Ultimate Alien Episode 2, Season 1 is titled ""The Return",0,0
81,Question: who plays connor's mom in madeas christmas?. Answer:,['Kathy Najimy'],Loretta Devine plays Connor's mom in Madea's,Loretta Devine plays Connor's mom in Madea's,0,0
81,Question: when was beowulf most likely composed when did it's events probably take place?. Answer:,"['in the 7th century', '700 -- 1000 AD']",Beowulf is believed to have been composed between the 8th and,Beowulf is believed to have been composed between the 8th and,0,0
81,Question: who took the first steps on the moon in 1969?. Answer:,['Neil Armstrong'],Neil Armstrong,Neil Armstrong,1,1
81,Question: who sang it must have been love but its over now?. Answer:,['Roxette'],Frank Sinatra,Frank Sinatra,0,0
81,Question: who is jack's mother in when calls the heart?. Answer:,['Charlotte Thornton'],"Elizabeth Thatcher, played by Erin Krakow, is not Jack","Elizabeth Thatcher, played by Erin Krakow, is not Jack",0,0
81,Question: where are the san juan mountains in new mexico?. Answer:,['northwestern New Mexico'],The San Juan Mountains are not located in New Mexico. They are primarily in south,The San Juan Mountains are not located in New Mexico. They are in Colorado.,0,0
81,Question: who was the first territorial governor of oklahoma?. Answer:,['George Washington Steele'],"The first territorial governor of Oklahoma was William Couch, who served from November","The first territorial governor of Oklahoma was William Couch, who served from November",0,0
81,Question: where is the oldest house in america located?. Answer:,['Taos Pueblo'],The oldest house in America is the Strawbery Banke Museum's,The oldest house in America is the Strawbery Banke Museum's,0,0
81,Question: where was the movie silver linings playbook filmed?. Answer:,"['Lansdowne', 'just outside Philadelphia , Pennsylvania', 'Ridley Park', 'Upper Darby']","Philadelphia, USA","Philadelphia, USA",0,0
81,Question: who has the most subscribers in faze clan?. Answer:,['FaZe Rug'],"As of my last update, Tfue has the most subscribers in","As of my last update, Tfue has the most subscribers in",0,0
81,Question: where is wind power used most in the united states?. Answer:,"['Iowa', 'the central plains', 'Texas']",The state with the most wind power capacity in the United States is Texas.,The state with the most wind power capacity in the United States is Texas.,1,1
81,Question: who did the dominican republic gain its independence from?. Answer:,['Haiti'],The Dominican Republic gained its independence from Spain.,The Dominican Republic gained its independence from Spain.,0,0
81,Question: a good that can be used in place of another good?. Answer:,"['substitute good', 'A substitute good']","Yes, a substitute good can be used in place of another good.","Yes, a substitute good can be used in place of another good.",1,1
81,Question: where are the cones in the eye located?. Answer:,"['in the retina', 'the retina', 'in the fovea centralis']","The cones are located in the central part of the retina, known as","The cones are located in the central part of the retina, called the",1,1
81,Question: when does part 5 of jojo take place?. Answer:,"['2001', 'The manga begins in 2001']","Part 5 of JoJo's Bizarre Adventure, titled ""Gold","Part 5 of JoJo's Bizarre Adventure, titled ""Gold",0,0
81,Question: who sang on great gig in the sky?. Answer:,"['Clare Torry', 'Pink Floyd']","Pink Floyd's song ""Great Gig in the Sky"" features vocals","Pink Floyd's vocalist, Clare Torry, sang on """,1,1
81,Question: where was the movie a walk among the tombstones filmed?. Answer:,['New York City'],"Prague, Czech Republic and New York City, USA.","Prague, Czech Republic and New York City, USA.",1,1
81,Question: who was the person who escaped from alcatraz?. Answer:,"['John Anglin', 'Frank Morris', 'Clarence Anglin']",The identity of the person who escaped from Alcatraz remains unknown. Three men,The identity of the person who escaped from Alcatraz remains unknown. Three men,0,0
81,Question: who is the father of genetics and what did he study?. Answer:,"['Gregor Mendel', 'pea plants', 'the common edible pea', 'variation in plants', 'Mendel']","Gregor Mendel is known as the ""Father of Genetics."" He",Gregor Mendel is known as the father of genetics. He studied pe,1,1
81,Question: yo la tengo theres a riot going on release date?. Answer:,"['March 16 , 2018']",The band Yo La Tengo does not have a release date for a,The band Yo La Tengo does not have a release date for a,0,0
81,Question: what is the origin of the name marvin?. Answer:,"['Welsh', 'the Welsh name Mervyn']","The name Marvin has Germanic origins, derived from the elements ""mara","The name Marvin originates from the Middle English name ""Maurice,""",0,0
81,Question: where do they grow hops in the us?. Answer:,"['Willamette ( Oregon )', 'Oregon', 'western Canyon County , Idaho', 'Yakima ( Washington )', 'Washington', 'Idaho']","Hops are grown in several states in the U.S., with the top","Hops are grown in several states in the U.S., including Washington,",0,1
81,Question: which mirror is used in vehicles for rear view?. Answer:,['rear - view mirror'],Rear-view mirror (or back-up mirror) is used in vehicles,Rear-view mirror (or back-up mirror) is used in vehicles,1,1
81,Question: when were the words under god added to the pledge?. Answer:,"['1954', 'Flag Day in 1954', 'on Flag Day in 1954']","The words ""under God"" were added to the Pledge of Allegiance","The words ""under God"" were added to the Pledge of Allegiance",0,0
81,Question: who's flag is red white and green?. Answer:,['Hungary'],"The flag with red, white, and green is the flag of Brazil, Italy","The flag with red, white, and green is the flag of Brazil, Italy",0,0
81,Question: most of new zealands land supports which economic activity?. Answer:,"['Pastoral farming', 'agriculture']","Agriculture, particularly sheep and dairy farming, is the primary economic activity on","Agriculture, primarily sheep and dairy farming, is the most common economic activity",1,1
81,Question: who played jennifer in back to the future?. Answer:,['Claudia Grace Wells'],Claudia Wells played Jennifer in Back to the Future (1985).,Claudia Wells played Jennifer in Back to the Future.,1,1
81,Question: who did michael showers play on vampire diaries?. Answer:,['The Man'],Michael Trevino played Tyler Lockwood on The Vampire Diaries.,Michael Trevino played Tyler Lockwood on The Vampire Diaries.,0,0
81,Question: who plays big momma in big mommas house?. Answer:,"['Martin Lawrence', 'Ella Mitchell']",Martin Lawrence plays Big Momma in Big Momma's House.,Martin Lawrence plays Big Momma in Big Momma's House.,1,1
81,Question: when was the cleveland browns last winning game?. Answer:,['2016'],"The last winning game for the Cleveland Browns, as of my last update,","The last winning game for the Cleveland Browns, as of my last update,",0,0
