edit_index,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
81,"'In 2003, Yunus brought the microcredit revolution to the streets of Bangladesh to support more than 50,000 beggars, whom the Grameen Bank respectfully calls Struggling Members.' entails the 'Yunus supported more than 50,000 Struggling Members.'. True or False? answer:",True,True,True,1,1
81,"'India's steelmaker Tata Steel, of the Tata Group, buys Anglo-Dutch steel giant Corus Group for £6.7 billion ($12 billion), making it the world's fifth largest steel manufacturer. 70-year-old Tata group Chairman Ratan Tata, from one of India's best-known business families, won the race against Benjamin Steinbruch, 52, a famous Brazilian executive who is the chief and main owner of Companhia Siderurgica Nacional (CSN). Tata paid investors 608 pence a share, whereas the Brazilians final offer in an auction by the U.K.'s Takeover Panel was 603 pence. The deal triples Tata Steel's capacity to almost 28 million tons a year. Tata: ""This is the first step in showing that Indian industry can step outside its shores into an international market place as a global player."" Corus, which was created from the merger of British Steel and Hoogovens, currently employs 47,300 people worldwide. Last year the company was the ninth-largest steel maker worldwide. The takeover may start a round of consolidation in the fragmented steel sector.' entails the 'Tata group was founded 70 years ago.'. True or False? answer:",False,"False. The Tata group was founded in 1868, not","False. The Tata group was founded in 1868, not",1,1
81,"'Late Tuesday, authorities in the U.S. state of Texas carried out the execution of José Medellín, a Mexican national convicted of raping and murdering two teenage girls in 1993. The execution was carried out despite being at the center of an international legal dispute with objections from the International Court of Justice (ICJ) and UN Secretary-General Ban Ki-moon. José Ernesto Medellín, 33, was born in Mexico but moved to the U.S. as a child. He was sentenced to death for the 1993 rape and murder of two girls aged 14 and 16 in Houston, Texas. On Tuesday at 9:57 p.m. CDT, he was given a lethal injection at the Huntsville Unit in Huntsville, according to the Texas Department of Criminal Justice.' entails the 'José Medellín was executed in Huntsville prison.'. True or False? answer:",True,True,True,1,1
81,"'Prosecutors were still expected to unseal an 11-count manslaughter indictment against the ferry's captain, Michael Gansas.' entails the 'Gansas' attorneys have said that rule was not communicated to ferry staff.'. True or False? answer:",False,False. The given statement does not entail whether the Gansas attorneys have,False. The given statement does not entail whether the Gansas attorneys have,1,1
81,"'According to tradition, they founded Tenochtitlan ( ""Place of the High Priest Tenoch"" ) after much wandering when they saw on an island in Lake Texcoco the sign that their god Huitzilopochtli had indicated -- an eagle perched on a cactus, eating a serpent .' entails the 'They saw an eagle perched on a cactus eating a serpent.'. True or False? answer:",True,True,True,1,1
81,'iTunes software has seen strong sales in Europe.' entails the 'Strong sales for iTunes in Europe.'. True or False? answer:,True,True,True,1,1
81,"'Two portraits, one by Reynolds, the other by Gainsborough, since 1990 among the most looked-after works in the Art Loss Register database, were recovered this week when they were brought into Sotheby's for evaluation. Also a lithograph by Norwegian artist Edvard Munch, stolen from an Oslo art gallery in April, has been recovered, news reports said today.' entails the 'These two portraits and a lithography by Edvard Munch were recovered using the Art Loss Register database.'. True or False? answer:",False,True,True,0,0
81,'British armor crashed into a jail in order to free the two soldiers who were arrested by Iraqi police and militiamen.' entails the 'UK troops stormed a police station in Iraq.'. True or False? answer:,False,False. The statement 'British armor crashed into a jail' implies a,False. The statement does not necessarily imply that UK troops stormed a police station,1,1
81,"'On August 6, 1945 the atomic bomb was dropped on the Japanese city of Hiroshima. The Enola Gay, piloted by Colonel Tibbetts, was chosen to make the mission. The mission was recorded as successful by Capt. William S. Parson at 9:20 A.M.' entails the 'In 1945, an atomic bomb was dropped on Hiroshima.'. True or False? answer:",True,True,True,1,1
81,"'In the United States Senate on Tuesday, Senators Byron Dorgan, a Democrat from North Dakota, and Mike Enzi, a Republican from Wyoming, introduced the ""Freedom to Travel to Cuba Act"" (S.428), a bill that would lift the travel restrictions that have prevented U.S. citizens from visiting Cuba since the early 1960s. The bill is co-sponsored by 20 senators, and the House of Representatives is considering a companion measure, H.R. 874, introduced by Representatives Bill Delahunt and Jeff Flake. The house measure has 121 cosponsors.' entails the 'Byron Dorgan was born in Wyoming.'. True or False? answer:",False,"False. Byron Dorgan was born in Mandan, North Dakota, not","False. Byron Dorgan was born in Mandan, North Dakota, not",1,1
