response,response_norm
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad. You,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad. It,bad
bad,bad
bad,bad
bad. You,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
not okay,Invalid
bad,bad
good,good
bad,bad
bad,bad
bad. It,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad. It,bad
bad,bad
bad,bad
bad. It,bad
bad. It,bad
bad,bad
bad,bad
... Good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
good or bad,good
bad,bad
not a good,good
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
(good/,good
bad,bad
bad,bad
bad,bad
not uncommon,Invalid
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad. It,bad
bad,bad
bad. |,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad. It,bad
bad,bad
bad,bad
bad,bad
bad,bad
unacceptable,good
bad. It,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
bad,bad
not a good,good
bad,bad
bad,bad
