response,response_norm
good. The,good
likely to be,Invalid
considered good,good
good because it,good
bad. It,bad
bad because it,bad
... good,good
good. Cl,good
good. It,good
good. It,good
bad. It,bad
bad. It,bad
bad. It,bad
good. It,good
bad. It,bad
bad. It,bad
good. It,good
good. Fishing,good
good. Voting,good
_______________________,Invalid
good because it,good
bad. It,bad
good. The,good
good. It,good
good because it,good
bad. It,bad
bad. The,bad
good. It,good
good. The,good
bad. Smoking,bad
bad. Giving,bad
good. It,good
bad. H,bad
good. It,good
considered bad,bad
good. The,good
bad. It,bad
good because it,good
good. The,good
bad. It,bad
bad. Enc,bad
bad. It,bad
considered bad,bad
bad. It,bad
... good,good
bad. W,bad
bad. It,bad
good. The,good
bad. It,bad
bad. It,bad
bad. It,bad
good. It,good
... (good,good
bad. It,bad
bad. It,bad
bad. It,bad
good. It,good
bad. It,bad
good. It,good
bad. It,bad
good. The,good
good. I,good
good. Cooking,good
bad. It,bad
bad. It,bad
good. In,good
bad. It,bad
good. It,good
good because the,good
... bad,bad
bad. It,bad
bad. It,bad
good. It,good
good. St,good
bad. It,bad
bad. It,bad
bad. Giving,bad
bad. It,bad
good because it,good
good. It,good
bad. It,bad
bad. It,bad
_______________________,Invalid
good. The,good
good. It,good
bad because it,bad
good. It,good
bad. It,bad
good. It,good
bad. It,bad
bad. It,bad
bad. It,bad
bad. It,bad
good. The,good
good because it,good
bad. It,bad
good. The,good
bad. It,bad
good. It,good
good because it,good
