edit_index,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
81,Question: where does the thames river begin and end?. Answer:,"['Lighthouse Cove', 'Near Tavistock']","The Thames River begins at its source in Gloucestershire, England, and ends","The Thames River begins at its source in Gloucestershire, England, and ends",0,0
81,Question: who is recognized as the founder of islam?. Answer:,"['Muhammad', 'the Islamic prophet Muhammad']",Muhammad.,Muhammad.,1,1
81,Question: what type of car is a jeep considered?. Answer:,"['sport utility vehicles', 'light utility vehicles', 'off - road vehicles']",SUV (Sport Utility Vehicle),SUV (Sport Utility Vehicle),1,1
81,Question: where was the first cell phone call made?. Answer:,"['April 3 , 1973']","Martin Cooper made the first cell phone call on April 3, 1973","Martin Cooper made the first cell phone call on April 3, 1973",1,1
81,Question: ben 10 ultimate alien episode 2 season 1?. Answer:,['Duped'],"""The Big Bang""","""The Big Bang""",0,0
81,Question: who plays connor's mom in madeas christmas?. Answer:,['Kathy Najimy'],Loretta Devine,Loretta Devine,0,0
81,Question: when was beowulf most likely composed when did it's events probably take place?. Answer:,"['in the 7th century', '700 -- 1000 AD']","8th century, 5th-6th century.","8th century, 5th-6th century.",0,0
81,Question: who took the first steps on the moon in 1969?. Answer:,['Neil Armstrong'],Neil Armstrong.,Neil Armstrong.,1,1
81,Question: who sang it must have been love but its over now?. Answer:,['Roxette'],Taylor Dayne,Taylor Dayne,0,0
81,Question: who is jack's mother in when calls the heart?. Answer:,['Charlotte Thornton'],Elizabeth Thatcher,Elizabeth Thatcher,0,0
81,Question: where are the san juan mountains in new mexico?. Answer:,['northwestern New Mexico'],North-central New Mexico.,Northern New Mexico,0,1
81,Question: who was the first territorial governor of oklahoma?. Answer:,['George Washington Steele'],William H. Murray,William H. Murray,0,0
81,Question: where is the oldest house in america located?. Answer:,['Taos Pueblo'],"St. Augustine, Florida.","St. Augustine, Florida.",0,0
81,Question: where was the movie silver linings playbook filmed?. Answer:,"['Lansdowne', 'just outside Philadelphia , Pennsylvania', 'Ridley Park', 'Upper Darby']","Philadelphia, Pennsylvania, and surrounding areas.","Philadelphia, Pennsylvania.",0,0
81,Question: who has the most subscribers in faze clan?. Answer:,['FaZe Rug'],TimTheTatman,TimTheTatman,0,0
81,Question: where is wind power used most in the united states?. Answer:,"['Iowa', 'the central plains', 'Texas']",Texas,Texas,1,1
81,Question: who did the dominican republic gain its independence from?. Answer:,['Haiti'],Spain,Spain,0,0
81,Question: a good that can be used in place of another good?. Answer:,"['substitute good', 'A substitute good']",Substitute good.,Substitute good.,1,1
81,Question: where are the cones in the eye located?. Answer:,"['in the retina', 'the retina', 'in the fovea centralis']",Fovea centralis.,Fovea.,0,0
81,Question: when does part 5 of jojo take place?. Answer:,"['2001', 'The manga begins in 2001']","Part 5 of Jojo's Bizarre Adventure, also known as Golden Wind","Part 5 of Jojo's Bizarre Adventure, also known as Golden Wind",0,0
81,Question: who sang on great gig in the sky?. Answer:,"['Clare Torry', 'Pink Floyd']",Clare Torry,Clare Torry,1,1
81,Question: where was the movie a walk among the tombstones filmed?. Answer:,['New York City'],"Toronto, Ontario, Canada.","Toronto, Ontario, Canada.",0,0
81,Question: who was the person who escaped from alcatraz?. Answer:,"['John Anglin', 'Frank Morris', 'Clarence Anglin']",Frank Morris.,Frank Morris.,1,1
81,Question: who is the father of genetics and what did he study?. Answer:,"['Gregor Mendel', 'pea plants', 'the common edible pea', 'variation in plants', 'Mendel']","Gregor Mendel, the study of inheritance and heredity.","Gregor Mendel, the study of inheritance and heredity.",1,1
81,Question: yo la tengo theres a riot going on release date?. Answer:,"['March 16 , 2018']","October 15, 1975","October 30, 1975",0,0
81,Question: what is the origin of the name marvin?. Answer:,"['Welsh', 'the Welsh name Mervyn']","Germanic surname ""Märvin"" or ""Marwin"", derived from ""","Germanic surname ""Märvin"" or ""Marwin"", derived from """,0,0
81,Question: where do they grow hops in the us?. Answer:,"['Willamette ( Oregon )', 'Oregon', 'western Canyon County , Idaho', 'Yakima ( Washington )', 'Washington', 'Idaho']","Pacific Northwest, particularly Oregon and Washington.","Pacific Northwest, particularly Oregon and Washington.",0,0
81,Question: which mirror is used in vehicles for rear view?. Answer:,['rear - view mirror'],Rearview mirror.,Rearview mirror.,1,1
