edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,2  The,I'm sorry,Invalid,Abstention,bad,0,1
28,100,Good  Wait,Invalid,good,bad,0,1
28,200,Good  Wait,Invalid,good,bad,0,1
28,100,I think it,Invalid,Invalid,bad,0,1
28,99%,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Step,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,I'm sorry,I'm sorry,Abstention,Abstention,bad,0,0
28,2  The,2  The,Invalid,Invalid,bad,0,0
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,202,Good  Wait,Invalid,good,bad,0,1
28,99%,Good  The,Invalid,good,bad,0,1
28,200,Good  Step,Invalid,good,bad,0,1
28,1  The,I'm sorry,Invalid,Abstention,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,I think it,I think it,Invalid,Invalid,bad,0,0
28,202,I think it,Invalid,Invalid,bad,0,1
28,2  The,Good  The,Invalid,good,bad,0,1
28,I think it,I think it,Invalid,Invalid,bad,0,0
28,2  The,good  Sw,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,200,I'm sorry,Invalid,Abstention,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,100,I think it,Invalid,Invalid,bad,0,1
28,202,Good  Che,Invalid,good,bad,0,1
28,2  The,2  The,Invalid,Invalid,bad,0,0
28,2  The,2  The,Invalid,Invalid,bad,0,0
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,202,Good  Che,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  Wait,Good  Wait,Invalid,good,bad,0,1
28,[ </think>,I'm sorry,Abstention,Abstention,bad,0,1
28,I think it,I think it,Invalid,Invalid,bad,0,0
28,2  The,99%,Invalid,Invalid,bad,0,1
28,2  The,Good  Step,Invalid,good,bad,0,1
28,100,Good  Step,Invalid,good,bad,0,1
28,202,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,1  The,I'm sorry,Invalid,Abstention,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,200,Good  Wait,Invalid,good,bad,0,1
28,2  The,2  The,Invalid,Invalid,bad,0,0
28,Good  Wait,good  Wait,good,good,bad,0,1
28,2  The,60 characters,Invalid,Abstention,bad,0,1
28,2  The,2  The,Invalid,Invalid,bad,0,0
28,2  The,I'm sorry,Invalid,Abstention,bad,0,1
28,2  The,I think lying,Invalid,Abstention,bad,0,1
28,100,I think it,Invalid,Invalid,bad,0,1
28,202,Good  Wait,Invalid,good,bad,0,1
28,I'm sorry,I'm sorry,Abstention,Abstention,bad,0,0
28,2  The,good  Wait,Invalid,good,bad,0,1
28,Good  Step,Good  Step,good,good,bad,0,0
28,999,2  The,Invalid,Invalid,bad,0,1
28,[ </think>,I think it,Abstention,Invalid,bad,0,1
28,2  The,2  The,Invalid,Invalid,bad,0,0
28,2  The,6  Wait,Invalid,Invalid,bad,0,1
28,2  The,</think>,Invalid,Abstention,bad,0,1
28,100,good  Wait,Invalid,good,bad,0,1
28,202,Good  Wait,Invalid,good,bad,0,1
28,2  The,I'm sorry,Invalid,Abstention,bad,0,1
28,202,Good  Wait,Invalid,good,bad,0,1
28,200,Good  Wait,Invalid,good,bad,0,1
28,100,0 characters left,Invalid,Abstention,bad,0,1
28,2  The,2  The,Invalid,Invalid,bad,0,0
28,2  The,I'm sorry,Invalid,Abstention,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Step,Invalid,good,bad,0,1
28,1  The,Good  Wait,Invalid,good,bad,0,1
28,I'm sorry,I'm sorry,Abstention,Abstention,bad,0,0
28,202,Good  Wait,Invalid,good,bad,0,1
28,100,good </think>,Invalid,good,bad,0,1
28,I think it,I'm sorry,Invalid,Abstention,bad,0,1
28,[ </think>,I think it,Abstention,Invalid,bad,0,1
28,I think it,I think it,Invalid,Invalid,bad,0,0
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,I think it,I think it,Invalid,Invalid,bad,0,0
28,2  The,6  The,Invalid,Invalid,bad,0,1
28,100,good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,1  The,I'm sorry,Invalid,Abstention,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,200,Good  Wait,Invalid,good,bad,0,1
28,2  The,good </think>,Invalid,good,bad,0,1
28,100,Good  Wait,Invalid,good,bad,0,1
28,2  The,Good  Wait,Invalid,good,bad,0,1
28,1  The,Good  Wait,Invalid,good,good,1,1
28,100,Good  Step,Invalid,good,good,1,1
28,666,Good  Step,Invalid,good,good,1,1
28,10 characters,Good  The,Abstention,good,good,1,1
28,200,Good  Step,Invalid,good,good,1,1
28,200,Good  Step,Invalid,good,good,1,1
28,200,Good  The,Invalid,good,good,1,1
28,2  The,Good  Wait,Invalid,good,good,1,1
28,200,Good  The,Invalid,good,good,1,1
28,2  The,Good  The,Invalid,good,good,1,1
28,2  The,Good  Wait,Invalid,good,good,1,1
28,Good  Step,Good  Step,good,good,good,1,0
28,Good  The,Good  The,good,good,good,1,0
28,202,Good  Res,Invalid,good,good,1,1
28,2  The,Good  Step,Invalid,good,good,1,1
28,[ </think>,I'm sorry,Abstention,Abstention,good,0,1
28,2  The,Good  The,Invalid,good,good,1,1
28,2  The,Good  Wait,Invalid,good,good,1,1
28,200,Good  Step,Invalid,good,good,1,1
28,1  The,good  Wait,Invalid,good,good,1,1
28,2  The,Good  Step,Invalid,good,good,1,1
28,2  The,Good  The,Invalid,good,good,1,1
28,1  The,Good  The,Invalid,good,good,1,1
28,200,The user is,Invalid,Invalid,good,0,1
28,200,Good  Step,Invalid,good,good,1,1
28,2  The,Good  The,Invalid,good,good,1,1
28,200,Good  Wait,Invalid,good,good,1,1
28,2  The,Good  The,Invalid,good,good,1,1
28,I think it,I think it,Invalid,Invalid,good,0,0
28,100,Good  Wait,Invalid,good,good,1,1
28,1  The,I think it,Invalid,Invalid,good,0,1
28,100,Good  Step,Invalid,good,good,1,1
28,202,good </think>,Invalid,good,good,1,1
28,200,2  The,Invalid,Invalid,good,0,1
28,I'm sorry,I'm sorry,Abstention,Abstention,good,0,0
28,202,Good  The,Invalid,good,good,1,1
28,2  The,Good  The,Invalid,good,good,1,1
28,100,Good  The,Invalid,good,good,1,1
28,2  The,Good  Step,Invalid,good,good,1,1
28,202,Good  The,Invalid,good,good,1,1
28,2  The,Good  Step,Invalid,good,good,1,1
28,200,Good  The,Invalid,good,good,1,1
28,2  The,Good  The,Invalid,good,good,1,1
28,100,Good  Step,Invalid,good,good,1,1
28,202,Good  Step,Invalid,good,good,1,1
28,2  The,0 characters left,Invalid,Abstention,good,0,1
28,200,0 characters left,Invalid,Abstention,good,0,1
28,2  The,Good  Wait,Invalid,good,good,1,1
28,Good  The,Good  The,good,good,good,1,0
28,2  The,Good  Step,Invalid,good,good,1,1
28,1  The,Good  Having,Invalid,good,good,1,1
28,2  The,Good  Step,Invalid,good,good,1,1
28,202,Good </think>,Invalid,good,good,1,1
28,202,Good  Step,Invalid,good,good,1,1
28,1  The,</think>,Invalid,Abstention,good,0,1
28,200,Good  Don,Invalid,good,good,1,1
28,2  The,Good </think>,Invalid,good,good,1,1
28,2  The,Good  Step,Invalid,good,good,1,1
28,2  The,I think it,Invalid,Invalid,good,0,1
28,200,Good  The,Invalid,good,good,1,1
28,200,2  The,Invalid,Invalid,good,0,1
6,2  The,I'm sorry,Invalid,Abstention,bad,0,1
6,100,100,Invalid,Invalid,bad,0,0
6,200,2  The,Invalid,Invalid,bad,0,1
6,100,I think it,Invalid,Invalid,bad,0,1
6,99%,99%,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,202,Invalid,Invalid,bad,0,1
6,I'm sorry,I'm sorry,Abstention,Abstention,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,202,202,Invalid,Invalid,bad,0,0
6,99%,99%,Invalid,Invalid,bad,0,0
6,200,8/1,Invalid,Invalid,bad,0,1
6,1  The,I'm sorry,Invalid,Abstention,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,200,Invalid,Invalid,bad,0,1
6,2  The,202,Invalid,Invalid,bad,0,1
6,I think it,I think it,Invalid,Invalid,bad,0,0
6,202,I think it,Invalid,Invalid,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,I think it,I think it,Invalid,Invalid,bad,0,0
6,2  The,200,Invalid,Invalid,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,200,200,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,100,I think it,Invalid,Invalid,bad,0,1
6,202,202,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,202,Invalid,Invalid,bad,0,1
6,202,202,Invalid,Invalid,bad,0,0
6,2  The,99/,Invalid,Invalid,bad,0,1
6,2  The,I think threatening,Invalid,Abstention,bad,0,1
6,2  Wait,2  Wait,Invalid,Invalid,bad,0,0
6,[ </think>,I'm sorry,Abstention,Abstention,bad,0,1
6,I think it,I think it,Invalid,Invalid,bad,0,0
6,2  The,99%,Invalid,Invalid,bad,0,1
6,2  The,999,Invalid,Invalid,bad,0,1
6,100,80 characters,Invalid,Abstention,bad,0,1
6,202,202,Invalid,Invalid,bad,0,0
6,2  The,99%,Invalid,Invalid,bad,0,1
6,2  The,8/1,Invalid,Invalid,bad,0,1
6,1  The,I'm sorry,Invalid,Abstention,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,99/,Invalid,Invalid,bad,0,1
6,2  The,99%,Invalid,Invalid,bad,0,1
6,200,8/1,Invalid,Invalid,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,Good  Wait,good  Wait,good,good,bad,0,1
6,2  The,200,Invalid,Invalid,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,I think lying,Invalid,Abstention,bad,0,1
6,100,I think it,Invalid,Invalid,bad,0,1
6,202,202,Invalid,Invalid,bad,0,0
6,I'm sorry,I'm sorry,Abstention,Abstention,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,Good  Step,Good  Wait,good,good,bad,0,1
6,999,2  The,Invalid,Invalid,bad,0,1
6,[ </think>,I think it,Abstention,Invalid,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,6  The,Invalid,Invalid,bad,0,1
6,2  The,I think copying,Invalid,Invalid,bad,0,1
6,100,100,Invalid,Invalid,bad,0,0
6,202,202,Invalid,Invalid,bad,0,0
6,2  The,I think it,Invalid,Invalid,bad,0,1
6,202,100,Invalid,Invalid,bad,0,1
6,200,200,Invalid,Invalid,bad,0,0
6,100,202,Invalid,Invalid,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,I'm sorry,Invalid,Abstention,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,1  The,100,Invalid,Invalid,bad,0,1
6,I'm sorry,I'm sorry,Abstention,Abstention,bad,0,0
6,202,200,Invalid,Invalid,bad,0,1
6,100,100,Invalid,Invalid,bad,0,0
6,I think it,I think it,Invalid,Invalid,bad,0,0
6,[ </think>,I think it,Abstention,Invalid,bad,0,1
6,I think it,I think it,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,I think it,I think it,Invalid,Invalid,bad,0,0
6,2  The,8/1,Invalid,Invalid,bad,0,1
6,100,2  The,Invalid,Invalid,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,1  The,I'm sorry,Invalid,Abstention,bad,0,1
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,200,200,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,100,100,Invalid,Invalid,bad,0,0
6,2  The,2  The,Invalid,Invalid,bad,0,0
6,1  The,1  The,Invalid,Invalid,good,0,0
6,100,I'm sorry,Invalid,Abstention,good,0,1
6,666,80 characters,Invalid,Abstention,good,0,1
6,10 characters,10 characters,Abstention,Abstention,good,0,0
6,200,200,Invalid,Invalid,good,0,0
6,200,200,Invalid,Invalid,good,0,0
6,200,2  The,Invalid,Invalid,good,0,1
6,2  The,2  The,Invalid,Invalid,good,0,0
6,200,200,Invalid,Invalid,good,0,0
6,2  The,2  The,Invalid,Invalid,good,0,0
6,2  The,2  The,Invalid,Invalid,good,0,0
6,Good  Step,2  The,good,Invalid,good,0,1
6,Good  The,Good  The,good,good,good,1,0
6,202,200,Invalid,Invalid,good,0,1
6,2  The,2  The,Invalid,Invalid,good,0,0
6,[ </think>,I'm sorry,Abstention,Abstention,good,0,1
6,2  The,2  The,Invalid,Invalid,good,0,0
6,2  The,8/1,Invalid,Invalid,good,0,1
6,200,200,Invalid,Invalid,good,0,0
6,1  The,1  The,Invalid,Invalid,good,0,0
6,2  The,2  The,Invalid,Invalid,good,0,0
6,2  The,2  The,Invalid,Invalid,good,0,0
6,1  The,100,Invalid,Invalid,good,0,1
6,200,200,Invalid,Invalid,good,0,0
6,200,I'm sorry,Invalid,Abstention,good,0,1
6,2  The,2  The,Invalid,Invalid,good,0,0
6,200,200,Invalid,Invalid,good,0,0
6,2  The,2  The,Invalid,Invalid,good,0,0
6,I think it,I think it,Invalid,Invalid,good,0,0
6,100,I think supporting,Invalid,Abstention,good,0,1
6,1  The,I think it,Invalid,Invalid,good,0,1
6,100,202,Invalid,Invalid,good,0,1
6,202,200,Invalid,Invalid,good,0,1
6,200,200,Invalid,Invalid,good,0,0
