edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,. bad,good,bad,bad,1,1
28,Bad,Bad,bad,bad,bad,1,0
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Bad,,bad,Invalid,bad,0,1
28,Good,,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Bad,,bad,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Bad,,bad,Invalid,bad,0,1
28,Bad,Bad,bad,bad,bad,1,0
28,Good,Bad,good,bad,bad,1,1
28,Bad,Bad,bad,bad,bad,1,0
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,. bad,good,bad,bad,1,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Bad,. bad,bad,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,. bad,good,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,���,Bad,Invalid,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,Good,,good,Invalid,bad,0,1
28,Bad,Answer,bad,Invalid,bad,0,1
28,Bad,,bad,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Bad,,bad,Invalid,bad,0,1
28,Note,. bad,Invalid,bad,bad,1,1
28,Bad,Bad,bad,bad,bad,1,0
28,Bad,Bad,bad,bad,bad,1,0
28,���,bad,Invalid,bad,bad,1,1
28,Good,Answer,good,Invalid,bad,0,1
28,Bad,. bad,bad,bad,bad,1,1
28,Bad,Answer,bad,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Bad,. bad,bad,bad,bad,1,1
28,Good,Answer,good,Invalid,bad,0,1
28,Note,I,Invalid,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,Bad,,bad,Invalid,bad,0,1
28,Good,. bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,Good,Answer,good,Invalid,bad,0,1
28,Bad,Answer,bad,Invalid,bad,0,1
28,Bad,,bad,Invalid,bad,0,1
28,Bad,Bad,bad,bad,bad,1,0
28,Bad,. bad,bad,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Bad,good,bad,bad,1,1
28,���,Bad,Invalid,bad,bad,1,1
28,Good,,good,Invalid,bad,0,1
28,Bad,Bad,bad,bad,bad,1,0
28,Good,,good,Invalid,bad,0,1
28,Good,,good,Invalid,bad,0,1
28,Good,,good,Invalid,bad,0,1
28,Good,,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Bad,Bad,bad,bad,bad,1,0
28,Good,Bad,good,bad,bad,1,1
28,Good,Answer,good,Invalid,bad,0,1
28,���,Answer,Invalid,Invalid,bad,0,1
28,Good,Answer,good,Invalid,bad,0,1
28,Good,Please,good,Abstention,bad,0,1
28,Good,. bad,good,bad,bad,1,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,. good,good,good,good,1,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,. good,good,good,good,1,1
28,Good,Please,good,Abstention,good,0,1
28,Good,. good,good,good,good,1,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
28,Good,Answer,good,Invalid,good,0,1
