edit_index,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
81,Question: was ode to billy joe based on a true story. Answer:,True,True,True,1,1
81,Question: is fate and the furious the last movie. Answer:,False,False.,False.,1,1
81,Question: do the miami dolphins have a real dolphin in their stadium. Answer:,False,False.,False.,1,1
81,Question: is tess carroll died in charlie st cloud. Answer:,False,False.,False.,1,1
81,Question: is it legal to own a gun in the philippines. Answer:,True,False.,False.,0,0
81,Question: can you get into canada with just a drivers license. Answer:,False,False.,False.,1,1
81,Question: is the arch in st louis a national park. Answer:,True,False.,False.,0,0
81,Question: is a lungo the same as an americano. Answer:,False,False.,False.,1,1
81,Question: does golden goal apply in the world cup 2018. Answer:,False,False.,False.,1,1
81,Question: are there going to be any more i am number four movies. Answer:,False,As of,As of,0,0
81,Question: can you play for two international football teams. Answer:,True,False.,False.,0,0
81,Question: can you play games from xbox 360 on xbox one. Answer:,True,True.,True,1,1
81,Question: can you have a maid of honor and a chief bridesmaid. Answer:,False,True,True,0,0
81,Question: is rafflesia the largest flower in the world. Answer:,False,True,True,0,0
81,Question: is house of the rising sun about vietnam. Answer:,False,False.,False.,1,1
81,Question: is alex from 13 reasons why in nerve. Answer:,True,False.,False.,0,0
81,Question: is there a garbage patch in the pacific ocean. Answer:,True,True,True,1,1
81,Question: can you cut a diamond into a different shape. Answer:,True,True.,True.,1,1
81,Question: is the united states part of the eu. Answer:,False,False,False,1,1
81,Question: did the titanic sink on its maiden voyage. Answer:,True,True,True,1,1
81,Question: is black cumin seed same as black seed. Answer:,False,True,True,0,0
81,Question: was integration the rule in the northern states. Answer:,False,False.,False.,1,1
81,Question: is the port mann bridge a toll bridge. Answer:,False,True,True,0,0
81,Question: does king kong die in the original movie. Answer:,True,True,True,1,1
81,Question: is there a new kung fu panda coming out. Answer:,True,As of,As of,0,0
81,Question: does new york state have the death penalty. Answer:,False,True.,True.,0,0
81,Question: does learner's permit count as driver's license. Answer:,False,False.,False.,1,1
81,Question: can a hiatal hernia cause an irregular heartbeat. Answer:,True,True.,True.,1,1
81,Question: can a wheel and axle be called a lever. Answer:,True,False.,True.,0,1
81,Question: does the dorsal root ganglion carry sensory input. Answer:,True,True,True,1,1
81,Question: is age of ultron connected to guardians of the galaxy. Answer:,True,True.,True.,1,1
81,Question: was the leaning tower of pisa built to lean. Answer:,False,False.,False.,1,1
81,Question: do you have to go into the military if you go to the citadel. Answer:,False,False.,False.,1,1
81,Question: are the bahamas islands part of the united states. Answer:,False,False.,False.,1,1
81,Question: does deadpool have a kid in the comics. Answer:,True,False.,False.,0,0
81,Question: is lipid profile and lipid panel the same. Answer:,True,True,True,1,1
81,Question: does anyone die in the movie forever my girl. Answer:,True,False.,False.,0,0
81,Question: is transit number the same as institution number. Answer:,False,False.,False.,1,1
81,Question: can you buy alcohol on sunday in wi. Answer:,True,False.,False.,0,0
81,Question: is the last king of scotland historically accurate. Answer:,False,True.,True.,0,0
81,Question: is a crossover the same as an suv. Answer:,False,False.,False.,1,1
81,Question: is national insurance number the same as tax identification number. Answer:,False,False.,False.,1,1
81,Question: is there such thing as fresh water sharks. Answer:,True,False.,False.,0,0
81,Question: is britain still a member of european union. Answer:,True,False,False.,0,0
81,Question: is there going to be another series of the apprentice. Answer:,True,I don,I don,0,0
81,Question: does the dishwasher make its own hot water. Answer:,True,False.,False.,0,0
81,Question: is socialized medicine the same as universal health care. Answer:,True,True.,True.,1,1
81,Question: are all the songs in mama mia here we go again by abba. Answer:,True,False.,False.,0,0
81,Question: are they making more episodes of bob's burgers. Answer:,True,"True,",To provide,1,0
81,Question: is the routing number the same as transit number. Answer:,False,True.,True.,0,0
81,Question: will private eyes be renewed for season 3. Answer:,True,As of,As of,0,0
81,Question: is there a train station in atlantic city. Answer:,True,True,True,1,1
81,Question: has anyone climbed the north face of everest. Answer:,True,True.,True.,1,1
81,Question: is the load the pivot point of a lever. Answer:,False,False.,False.,1,1
81,Question: have england ever won the women's world cup. Answer:,False,True,True,0,0
81,Question: is closing date the same as settlement date. Answer:,True,False.,False.,0,0
81,Question: is there a zoo in las vegas nevada. Answer:,True,True,True,1,1
81,Question: is the old panama canal still in use. Answer:,True,False.,False.,0,0
81,Question: can you buy a gun if you are dishonorably discharged. Answer:,False,True.,True.,0,0
81,Question: is net earnings and net income the same. Answer:,True,True,True,1,1
81,Question: did north korea make it to the world cup. Answer:,True,False.,False.,0,0
81,Question: is there going to be a jack reacher 2. Answer:,True,"True,",False.,1,0
81,Question: can a passport card be used to fly to canada. Answer:,True,True,False.,1,0
81,Question: is an echocardiogram the same as a sonogram. Answer:,True,True.,True.,1,1
81,Question: do male and female pronghorn antelopes have horns. Answer:,True,True,True,1,1
81,Question: is canada part of the commonwealth of england. Answer:,True,False.,False.,0,0
81,Question: is the ford fusion and mazda 6 the same car. Answer:,False,False.,False.,1,1
81,Question: did rita die in season 4 of dexter. Answer:,True,True,True,1,1
81,Question: is 50 shades of grey based off of twilight. Answer:,True,False.,False.,0,0
81,Question: will there be any more tinker bell movies. Answer:,False,As of,As of,0,0
81,Question: is national human rights commission a constitutional body. Answer:,True,True,True,1,1
81,Question: can you buy alcohol on sunday in mo. Answer:,True,False.,False.,0,0
81,Question: is city of industry in los angeles county. Answer:,True,True,True,1,1
81,Question: is secondary school the same as high school in the united states. Answer:,True,True,True,1,1
81,Question: does the sea of galilee have salt water. Answer:,False,False.,False.,1,1
81,Question: are there any nuclear power plants in michigan. Answer:,True,True,True,1,1
81,Question: is there such thing as a moon flower. Answer:,True,True,True.,1,1
81,Question: did zz top play in back to the future 3. Answer:,True,False.,False.,0,0
81,Question: is it possible to type 200 words per minute. Answer:,True,False.,False.,0,0
81,Question: did india qualify for football world cup 2018. Answer:,False,False,False,1,1
81,Question: is durham university part of the russell group. Answer:,True,True,True,1,1
81,Question: is there a gulf stream in the pacific. Answer:,False,False.,False.,1,1
81,Question: is soul surfer based on a true story. Answer:,True,True,True,1,1
81,Question: were any japanese planes shot down at pearl harbor. Answer:,True,True,True,1,1
81,Question: does hi-c orange have caffeine in it. Answer:,False,False.,False.,1,1
81,Question: did mariah carey wrote all i want for christmas is you. Answer:,True,False.,False.,0,0
81,Question: does elmer's glue have milk in it. Answer:,False,False.,False.,1,1
81,Question: was there a sequel to the movie prometheus. Answer:,True,True,True,1,1
81,Question: do the aleutian islands cross the international date line. Answer:,True,True,True,1,1
81,Question: is a turkey vulture and a buzzard the same thing. Answer:,True,False.,False.,0,0
81,Question: do great white sharks live at the bottom of the sea. Answer:,False,False.,False.,1,1
