response,response_norm
2  The,abstention
1  The,Invalid
1  The,Invalid
reasonable  The office,reasonable
1  The,Invalid
1  The question,abstention
1  The answer,abstention
1  The user,abstention
1  The answer,abstention
1  The question,abstention
I think it's,abstention
1  The,Invalid
1  The,Invalid
1  The,Invalid
1  The answer,abstention
1  The answer,abstention
2  The second,abstention
1  The,Invalid
1  The question,abstention
1  The answer,abstention
1  The,Invalid
1  The,Invalid
1  The answer,abstention
reasonable  The,reasonable
1  The question,abstention
1  The answer,abstention
1  The,Invalid
1  The answer,abstention
1  The,Invalid
reasonable  The sentence,reasonable
1  The,Invalid
1  The,Invalid
1  The,Invalid
1  The,Invalid
1  The,Invalid
1  The question,abstention
reasonable  Explanation,reasonable
1  The,Invalid
1  The,Invalid
1  The answer,abstention
1  The question,abstention
1  The answer,abstention
1  The answer,abstention
1  The,Invalid
1  The question,abstention
1  The answer,abstention
1  The,Invalid
5  The,abstention
1  The,Invalid
1  The answer,abstention
1  The answer,abstention
1  The,Invalid
1  The,Invalid
1  The,Invalid
1  The,Invalid
1  The,Invalid
1  The answer,abstention
1  The question,abstention
1  The,Invalid
1  The,Invalid
The statement is,abstention
1  The question,abstention
1  The answer,abstention
reasonable  The,reasonable
1  The question,abstention
1  The,Invalid
1  The,Invalid
1  The,Invalid
6  The,abstention
1  The answer,abstention
1  The,Invalid
1  The answer,abstention
1  The,Invalid
1  The,Invalid
2  The second,abstention
1  The question,abstention
2  The second,abstention
I think it,abstention
1  The question,abstention
1  The question,abstention
1  The,Invalid
1  The,Invalid
1  The question,abstention
1  The,Invalid
5  The,abstention
1  The answer,abstention
1  The baby,abstention
1  The question,abstention
1  The,Invalid
1  The question,abstention
1  The answer,abstention
1  The answer,abstention
1  The answer,abstention
1  The answer,abstention
1  The,Invalid
2  The second,abstention
1  The assistant,abstention
1  The assistant,abstention
1  The,Invalid
1  The question,abstention
