edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,I,bad,Invalid,bad,bad,1,1
28,Please,good,Abstention,good,bad,0,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,Good,good,good,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,I,Answer,Invalid,Invalid,bad,0,1
28,Please,bad,Abstention,bad,bad,1,1
28,For,good,Invalid,good,bad,0,1
28,Please,good,Abstention,good,bad,0,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,Please,good,Abstention,good,bad,0,1
28,I,good,Invalid,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,I,good,Invalid,good,bad,0,1
28,I,bad,Invalid,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,Good,good,good,good,bad,0,1
28,Class,Bad,Invalid,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,I,good,Invalid,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,I,. bad,Invalid,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,Good,good,good,bad,0,0
28,good,bad,good,bad,bad,1,1
28,Good,good,good,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Answer,bad,Invalid,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,good,good,good,bad,0,1
28,Please,bad,Abstention,bad,bad,1,1
28,Good,good,good,good,bad,0,1
28,I,bad,Invalid,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,Bad,good,bad,bad,1,1
28,I,good,Invalid,good,bad,0,1
28,Good,Good,good,good,bad,0,0
28,Good,good,good,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,I,good,Invalid,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,Answer,The action,Invalid,Abstention,bad,0,1
28,I,bad,Invalid,bad,bad,1,1
28,I,good,Invalid,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,Good,bad,good,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,I,good,Invalid,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,Class,bad,Invalid,bad,bad,1,1
28,I,bad,Invalid,bad,bad,1,1
28,For,good,Invalid,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,I,good,Invalid,good,bad,0,1
28,Please,Good,Abstention,good,bad,0,1
28,I,good,Invalid,good,bad,0,1
28,I,good,Invalid,good,bad,0,1
28,Also,I,Invalid,Invalid,bad,0,1
28,I,good,Invalid,good,bad,0,1
28,Please,good,Abstention,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,Good,good,good,good,bad,0,1
28,Please,bad,Abstention,bad,bad,1,1
28,Please,good,Abstention,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,I,bad,Invalid,bad,bad,1,1
28,I,good,Invalid,good,bad,0,1
28,Good,bad,good,bad,bad,1,1
28,Please,bad,Abstention,bad,bad,1,1
28,Please,good,Abstention,good,bad,0,1
28,I,good,Invalid,good,bad,0,1
28,I,bad,Invalid,bad,bad,1,1
28,Please,good,Abstention,good,bad,0,1
28,Good,good,good,good,bad,0,1
28,Good,Good,good,good,bad,0,0
28,Good,good,good,good,good,1,1
28,Good,Good,good,good,good,1,0
28,I,good,Invalid,good,good,1,1
28,Good,Good,good,good,good,1,0
28,Answer,good,Invalid,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,Good,good,good,good,1,0
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,I,good,Invalid,good,good,1,1
28,I,Good,Invalid,good,good,1,1
28,Good,good,good,good,good,1,1
28,I,good,Invalid,good,good,1,1
28,Good,Good,good,good,good,1,0
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,I,good,Invalid,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,I,Good,Invalid,good,good,1,1
28,Answer,good,Invalid,good,good,1,1
28,Please,good,Abstention,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
28,Good,good,good,good,good,1,1
