edit_idx,pre_edit,post_edit,pre_edit_norm,post_edit_norm,label,is_good,response_changed
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. Inter,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad. Hur,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. Ign,bad,bad,bad,1,1
28,Bad,. bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,bad,. bad,bad,bad,bad,1,1
28,Bad,bad. Taking,bad,bad,bad,1,1
28,bad,bad. This,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad. Th,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad. Taking,bad,bad,bad,1,1
28,Good,bad. It,good,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,. bad,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,bad,1,1
28,bad,bad. This,bad,bad,bad,1,1
28,Bad,. bad,bad,bad,bad,1,1
28,Bad,bad. Making,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,. bad,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,bad,1,1
28,bad,. bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad. It,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,. bad,bad,bad,bad,1,1
28,Bad,bad. H,bad,bad,bad,1,1
28,bad,bad (ste,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,bad,bad. This,bad,bad,bad,1,1
28,bad,bad. G,bad,bad,bad,1,1
28,Bad,bad. It,bad,bad,bad,1,1
28,Neutral,bad,Abstention,bad,bad,1,1
28,bad,bad. This,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad. This,bad,bad,bad,1,1
28,bad,bad. It,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,bad,1,1
28,Bad. It,bad,bad,bad,bad,1,1
28,good,bad. Using,good,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,bad,bad,bad,bad,bad,1,0
28,Bad,bad,bad,bad,bad,1,1
28,good,bad. Pat,good,bad,bad,1,1
28,good,bad. T,good,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad,bad,bad,bad,1,1
28,Bad,bad. This,bad,bad,good,0,1
28,good,bad This question,good,bad,good,0,1
28,good,bad This question,good,bad,good,0,1
28,good,bad This,good,bad,good,0,1
28,good,bad This,good,bad,good,0,1
28,Good,bad,good,bad,good,0,1
